# Pixel,Intensity
1446,40312.0000
1447,41329.0000
1448,39913.0000
1449,41039.0000
1450,40387.0000
1451,41190.0000
1452,40046.0000
1453,41236.0000
1454,39963.0000
1455,40959.0000
1456,39905.0000
1457,41181.0000
1458,40086.0000
1459,41463.0000
1460,39875.0000
1461,41026.0000
1462,39968.0000
1463,41131.0000
1464,40029.0000
1465,40849.0000
1466,39969.0000
1467,41090.0000
1468,39757.0000
1469,41232.0000
1470,40148.0000
1471,40828.0000
1472,40157.0000
1473,41268.0000
1474,40010.0000
1475,40952.0000
1476,40286.0000
1477,40854.0000
1478,40422.0000
1479,40933.0000
1480,40346.0000
1481,41297.0000
1482,39853.0000
1483,40863.0000
1484,40128.0000
1485,40799.0000
1486,40168.0000
1487,40886.0000
1488,40029.0000
1489,40716.0000
1490,40195.0000
1491,40714.0000
1492,39909.0000
1493,41094.0000
1494,40018.0000
1495,40891.0000
1496,39973.0000
1497,40814.0000
1498,40041.0000
1499,40979.0000
1500,39865.0000
1501,40780.0000
1502,39771.0000
1503,40992.0000
1504,40007.0000
1505,41138.0000
1506,39870.0000
1507,40805.0000
1508,39908.0000
1509,40673.0000
1510,40257.0000
1511,40647.0000
1512,40370.0000
1513,40956.0000
1514,40122.0000
1515,40966.0000
1516,40159.0000
1517,40665.0000
1518,40244.0000
1519,40931.0000
1520,39601.0000
1521,40701.0000
1522,39904.0000
1523,40866.0000
1524,40103.0000
1525,40674.0000
1526,40280.0000
1527,40558.0000
1528,40157.0000
1529,41017.0000
1530,39857.0000
1531,40568.0000
1532,39411.0000
1533,41004.0000
1534,40172.0000
1535,40894.0000
1536,39570.0000
1537,41143.0000
1538,39972.0000
1539,40536.0000
1540,39765.0000
1541,40727.0000
1542,40039.0000
1543,40550.0000
1544,39572.0000
1545,40836.0000
1546,39777.0000
1547,40813.0000
1548,40245.0000
1549,40730.0000
1550,39420.0000
1551,40458.0000
1552,39684.0000
1553,41118.0000
1554,40181.0000
1555,40734.0000
1556,39759.0000
1557,40670.0000
1558,39829.0000
1559,40608.0000
1560,39625.0000
1561,40457.0000
1562,39993.0000
1563,40776.0000
1564,39628.0000
1565,40308.0000
1566,39756.0000
1567,40504.0000
1568,40188.0000
1569,40794.0000
1570,39562.0000
1571,40672.0000
1572,39766.0000
1573,40772.0000
1574,39841.0000
1575,40901.0000
1576,39696.0000
1577,40461.0000
1578,39466.0000
1579,41040.0000
1580,39588.0000
1581,40868.0000
1582,39496.0000
1583,40511.0000
1584,39578.0000
1585,40682.0000
1586,39642.0000
1587,40770.0000
1588,40035.0000
1589,40331.0000
1590,39631.0000
1591,40609.0000
1592,39505.0000
1593,40551.0000
1594,39639.0000
1595,40137.0000
1596,39602.0000
1597,40460.0000
1598,39275.0000
1599,40663.0000
1600,39868.0000
1601,40335.0000
1602,39750.0000
1603,40673.0000
1604,39419.0000
1605,40448.0000
1606,39405.0000
1607,40505.0000
1608,39870.0000
1609,40431.0000
1610,39566.0000
1611,40478.0000
1612,39554.0000
1613,40297.0000
1614,39609.0000
1615,40223.0000
1616,39605.0000
1617,40131.0000
1618,39590.0000
1619,40336.0000
1620,39757.0000
1621,40078.0000
1622,39703.0000
1623,40619.0000
1624,39498.0000
1625,40350.0000
1626,39667.0000
1627,40429.0000
1628,39415.0000
1629,40417.0000
1630,39337.0000
1631,40361.0000
1632,39532.0000
1633,40503.0000
1634,39714.0000
1635,40232.0000
1636,39244.0000
1637,40330.0000
1638,39363.0000
1639,40261.0000
1640,39530.0000
1641,40638.0000
1642,39473.0000
1643,40239.0000
1644,39864.0000
1645,40505.0000
1646,39611.0000
1647,40222.0000
1648,39459.0000
1649,40468.0000
1650,39502.0000
1651,40285.0000
1652,39811.0000
1653,40197.0000
1654,39958.0000
1655,39965.0000
1656,39780.0000
1657,40443.0000
1658,39520.0000
